<<Tax Map Parcel Number>>,Tax Map 1st Num,<<Parcel Street Address1>>,<<Parcel Street Address2>>,Application Type:,Application Status,Changes to Application,<<Last Application Year>>,<<Expiration Date>>,<<Current square footage of impervious surface >>,<<Billing Units>>,Billing Rate,<<Credit Percent>>,<<Original Fee>>,<<Credit Amount>>,<<New Fee>>,Septic Connection Credit,Disconnected Downspouts,Rain Garden,Vegetated Filter Strip,Rain Barrel,Tree Cover,Conservation Landscaping,Nutrient Management Plan,<<Credit Items>>,"Roof Area
(For reporting disconnects)","Rain Barrel Area
(for reporting Rain Barrels)","Pervious Area
(For reporting NMP)"
9_C_19,9,98 Emery St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,546.67 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
9_K_4,9,86 Rex Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 5,390.78 ",11,$6.00,20%, $66.00 , $13.20 , $52.80 ,,20%,,,,,,,* 100% Disconnected Downspouts * ,"1,725.00",,
9_R_5,9,151 Sharon St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 2,656.69 ",5,$6.00,0%, $30.00 , $-   , $30.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,,,
9_N_1,9,1982 Willow Hill Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 11,590.32 ",23,$6.00,40%, $138.00 , $55.20 , $82.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,921.00",,"73,453.00"
9_M_7,9,1926 Lynne Place,"Harrisonburg, VA 22801",Credit Application,Approved,,2022,6/30/2027," 4,567.73 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"3,004.70",933.40,
9_M_15,9,1940 Willow Hill Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,568.27 ",9,$6.00,40%, $54.00 , $21.60 , $32.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,000.00",,"13,825.00"
9_H_2,9,69 Middlebrook St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,682.32 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,784.00",,"2,000.00"
9_B_6,9,75 Perry St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2017,6/30/2022," 3,404.82 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,915.00",,"6,800.00"
10_F_4,10,16 Laurel St,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 7,700.67 ",15,$6.00,0%, $90.00 , $-   , $90.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,,
10_F_5,10,12 Laurel St,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 4,902.61 ",10,$6.00,0%, $60.00 , $-   , $60.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
10_K_4,10,52 Emery St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,022.25 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,"2,660.00",,"3,700.00"
10_L_32,10,48 Pleasant Hill Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,058.64 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,,10%,10%,* 100% Disconnected Downspouts * Conservation Landscaping * Nutrient Management Plan * ,"2,210.00",,"19,300.00"
10_K_24,10,33 Tamela Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,349.05 ",9,$6.00,50%, $54.00 , $27.00 , $27.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"2,100.00",,"7,898.00"
10_E_38,10,74 Laurel St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,066.12 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,028.00",,"1,000.00"
11_C_40,11,1411 Bluestone St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,912.96 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,454.00",700.00,"3,651.00"
11_E_1 - 2,11,1450 Bluestone St,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,564.49 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,207.30",480.00,"5,000.00"
11_E_19 - 20,11,42 Monument Ave,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 1,956.71 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,
11_I_25,11,1403 Crawford Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,992.98 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,213.00",,"2,700.00"
11_N_32,11,1420 Crawford Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 3,365.11 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * ,"1,820.00","1,000.00",
12_B_3,12,801 Oak Hill Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 5,938.68 ",12,$6.00,50%, $72.00 , $36.00 , $36.00 ,,20%,,,,10%,10%,10%,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"2,600.00",,"6,500.00"
12_C_5,12,905 Oak Hill Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,122.75 ",8,$6.00,30%, $48.00 , $14.40 , $33.60 ,,20%,,,,10%,,,* 100% Disconnected Downspouts * Tree Cover * ,"2,420.00",,
12_I_5,12,812 Greenbriar Dr,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 4,260.36 ",9,$6.00,0%, $54.00 , $-   , $54.00 ,,,,,,,,,* ,,,
12_K_11,12,978 Greenbriar Dr,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2021,6/30/2026," 3,315.92 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
14_D_5,14,1211 Country Club Ct,"Harrisonburg, VA 22802",Credit Application,Approved,,2020,6/30/2025, 937.40 ,2,$6.00,30%, $12.00 , $3.60 , $8.40 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,542.00,,647.00
14_E_9,14,1318 Country Club Ct,"Harrisonburg, VA 22802",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020, 859.01 ,2,$6.00,0%, $12.00 , $-   , $12.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
14_N_16,14,1472 Country Club Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,330.64 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
14_N_19,14,1478 Country Club Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020," 1,247.17 ",2,$6.00,0%, $12.00 , $-   , $12.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
14_N_52,14,1417 Country Club Ct,"Harrisonburg, VA 22802",Credit Application,Expired,Moved-Credit Removed,2015,6/30/2020, 824.50 ,2,$6.00,0%, $12.00 , $-   , $12.00 ,,10%,,,20%,,,10%,* 50% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,,,
14_L_3,14,95 Dutch Mill Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,550.91 ",15,$6.00,40%, $90.00 , $36.00 , $54.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,525.00",,"11,377.00"
14_L_2,14,97 Dutch Mill Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 7,144.22 ",14,$6.00,30%, $84.00 , $25.20 , $58.80 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"10,650.00"
15_G_3,15,1105 Mountainview Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 1,160.00 ",2,$6.00,0%, $12.00 , $-   , $12.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
15_I_10,15,1143 Mountainview Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 1,309.57 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
15_P_5,15,456 Preston Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024, -   ,0,$6.00,50%, $-   , $-   , $-   ,,,,,20%,10%,10%,10%,* Rain Barrel * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,,265.00,"6,500.00"
16_D_8,16,201 E Grattan St,"Harrisonburg, VA 22801",Credit Application,Expired,,2016,6/30/2021," 1,587.37 ",3,$6.00,0%, $18.00 , $-   , $18.00 ,,,,,,,,,* ,,,
16_D_23,16,276 MLK JR Way,"Harrisonburg, VA 22801",Credit Application,Approved,,2018,6/30/2023," 6,006.09 ",12,$6.00,30%, $72.00 , $21.60 , $50.40 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,DNR
16_D_5,16,660/664 S. Mason St,"Harrisonburg, VA 22801",Credit Application,Approved,,2019,6/30/2024," 3,911.42 ",8,$6.00,20%, $48.00 , $9.60 , $38.40 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"1,000.00"
17_A_16,17,1110 Hillcrest Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,810.62 ",10,$6.00,40%, $60.00 , $24.00 , $36.00 ,,20%,,,20%,,,,* 100% Disconnected Downspouts * Rain Barrel * ,"2,010.00","1,333.00",
18_F_2,18,102-104 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 9,391.73 ",19,$6.00,30%, $114.00 , $34.20 , $79.80 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"3,582.00",,"11,663.40"
18_F_2A,18,106-108 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 6,605.41 ",13,$6.00,40%, $78.00 , $31.20 , $46.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,381.00",,"6,050.00"
18_F_2B,18,110 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 7,823.90 ",16,$6.00,40%, $96.00 , $38.40 , $57.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,917.00,,"2,195.00"
18_F_2C,18,112 Maryland Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,823.34 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,917.00,,"2,513.00"
18_N_13,18,91 Maplehurst Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,380.57 ",7,$6.00,50%, $42.00 , $21.00 , $21.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,DNR,150.00,"5,000.00"
18_Q_8,18,1275 Hillcrest Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,910.83 ",6,$6.00,20%, $36.00 , $7.20 , $28.80 ,,,,,,10%,,10%,* Tree Cover * Nutrient Management Plan * ,,,"5,022.00"
18_S_4,18,1220 Hillcrest Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,920.80 ",6,$6.00,30%, $36.00 , $10.80 , $25.20 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,254.00",,"24,500.00"
18_S_5,18,1230 Hillcrest Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 8,451.69 ",17,$6.00,50%, $102.00 , $51.00 , $51.00 ,,,,,20%,10%,10%,10%,* Rain Barrel * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,,150.00,"13,050.00"
18_S_12,18,124 Port Republic Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,501.27 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,500.00",,975.00
18_S_13,18,126 Port Republic Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,111.80 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,260.00",,"1,048.00"
18_S_14,18,128 Port Republic Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,124.71 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,925.00",,487.00
18_S_15,18,130 Port Republic Rd,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,274.62 ",3,$6.00,40%, $18.00 , $7.20 , $10.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,300.00,,"1,965.00"
19_H_3A,19,135 South Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,040.56 ",4,$6.00,10%, $24.00 , $2.40 , $21.60 ,,,,,,,,10%,* Nutrient Management Plan * ,,,589.00
20_D_10,20,253 Hillandale Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 3,523.48 ",7,$6.00,20%, $42.00 , $8.40 , $33.60 ,,,,,20%,,,,* Rain Barrel * ,,400.00,
20_J_2,20,1049 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 5,226.32 ",10,$6.00,30%, $60.00 , $18.00 , $42.00 ,,10%,,,,10%,,10%,* 50% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,"9,035.00"
20_J_6,20,1065 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,188.86 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,"1,600.00",660.00,"10,111.00"
20_K_3,20,1051 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,561.81 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,10%,,* 100% Disconnected Downspouts * Tree Cover * Conservation Landscaping * ,"1,578.50",,
20_M_9,20,1156 Sharpes Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 4,124.14 ",8,$6.00,40%, $48.00 , $19.20 , $28.80 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"3,233.00",,"14,000.00"
20_D_20,20,368 Cedar St,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,939.51 ",4,$6.00,30%, $24.00 , $7.20 , $16.80 ,,20%,,,,10%,,,* 100% Disconnected Downspouts * Tree Cover * ,"1,468.00",,
20_K_1,20,1043 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 4,429.02 ",9,$6.00,30%, $54.00 , $16.20 , $37.80 ,,,,,20%,,,10%,* Rain Barrel * Nutrient Management Plan * ,,,"11,200.00"
20_R_19,20,235 Wakefield Pl,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 1,961.37 ",4,$6.00,40%, $24.00 , $9.60 , $14.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,850.00,,500.00
20_D_23,20,422 Cedar St,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 3,702.60 ",7,$6.00,0%, $42.00 , $-   , $42.00 ,,,,,,,,,* ,,,
20_K_5,20,1061 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2022,6/30/2027," 4,415.59 ",9,$6.00,40%, $54.00 , $21.60 , $32.40 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,850.00",,"5,574.10"
20_P_3A,20,1127 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2023,6/30/2028," 4,764.55 ",10,$6.00,20%, $60.00 , $12.00 , $48.00 ,,10%,,,,10%,,,* 50% Disconnected Downspouts * Tree Cover * ,,,
21_A_13,21,463 West Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,534.03 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"2,548.00",,"7,433.00"
21_C_2 & 9,21,1301 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,504.00 ",5,$6.00,40%, $30.00 , $12.00 , $18.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,615.00",,"25,000.00"
21_H_4,21,462 Queen Anne Ct,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,185.76 ",6,$6.00,50%, $36.00 , $18.00 , $18.00 ,,20%,25%,,,10%,,10%,* 100% Disconnected Downspouts * Rain Garden * Tree Cover * Nutrient Management Plan * ,"1,933.00",,"7,000.00"
21_B_8,21,367 Cedar St,"Harrisonburg, VA 22801",Credit Application,Expired,Moved-Credit Removed,2016,6/30/2021," 2,244.24 ",4,$6.00,0%, $24.00 , $-   , $24.00 ,,,,,,,,,* ,,,
22_E_16,22,799 Circle Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 13,011.22 ",26,$6.00,40%, $156.00 , $62.40 , $93.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"5,900.00",,"13,000.00"
22_A_27,22,911 Circle Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 6,510.87 ",13,$6.00,0%, $78.00 , $-   , $78.00 ,,20%,,,20%,10%,,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Nutrient Management Plan * ,,,
22_E_10,22,721 Circle Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 3,090.78 ",6,$6.00,0%, $36.00 , $-   , $36.00 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,,,
23_A_38-39,23,251 Maryland Ave ,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,595.68 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,,20%,,,20%,,,10%,* 100% Disconnected Downspouts * Rain Barrel * Nutrient Management Plan * ,"1,200.00",850.00,"7,593.00"
22_I_13,22,997 Circle Dr,"Harrisonburg, VA 22801",Credit Application,Expired,No Re-App- Expired,2015,6/30/2020," 6,175.92 ",12,$6.00,0%, $72.00 , $-   , $72.00 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,,,
23_B_29-30,23,381 Sunrise Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 3,429.85 ",7,$6.00,40%, $42.00 , $16.80 , $25.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,470.00",,"7,272.00"
23_B_19,23,918 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2021,6/30/2026," 2,178.35 ",4,$6.00,50%, $24.00 , $12.00 , $12.00 ,,20%,,,20%,10%,10%,10%,* 100% Disconnected Downspouts * Rain Barrel * Tree Cover * Conservation Landscaping * Nutrient Management Plan * ,"1,745.00",130.00,850.00
23_B_31,23,904 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,282.64 ",3,$6.00,30%, $18.00 , $5.40 , $12.60 ,,20%,,,,,,10%,* 100% Disconnected Downspouts * Nutrient Management Plan * ,"1,285.00",,"3,300.00"
23_B_32,23,908 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,220.00 ",2,$6.00,40%, $12.00 , $4.80 , $7.20 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,100.00",,"1,700.00"
23_C_28-29,23,815 Chestnut Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,225.87 ",2,$6.00,10%, $12.00 , $1.20 , $10.80 ,,,,,,,,10%,* Nutrient Management Plan * ,,,"5,850.00"
23_D_64-66,23,449 Sunrise Ave,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 1,280.92 ",3,$6.00,50%, $18.00 , $9.00 , $9.00 ,,10%,,,20%,10%,10%,,* 50% Disconnected Downspouts * Rain Barrel * Tree Cover * Conservation Landscaping * ,,400.00,
23_E_4-6,23,845 S Dogwood Dr,"Harrisonburg, VA 22801",Credit Application,Approved,,2020,6/30/2025," 2,786.50 ",6,$6.00,40%, $36.00 , $14.40 , $21.60 ,,20%,,,,10%,,10%,* 100% Disconnected Downspouts * Tree Cover * Nutrient Management Plan * ,"1,800.00",,"9,090.00"
23_F_1-3,23,591 Sunrise Ave,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2020,DNE," 2,612.89 ",5,$6.00,50%, $30.00 , $15.00 , $15.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
23_F_63,23,607 Sunrise Ave,"Harrisonburg, VA 22801",Septic Credit,Approved-DNE,,DNE-2020,DNE," 6,494.02 ",13,$6.00,50%, $78.00 , $39.00 , $39.00 ,50.00%,,,,,,,,* Septic Connection Credit * ,,,
