"","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","Violation.Status.Open.Closed","id","address","city","stateprov","country","latitude","longitude","name","desc","color"
"20",2011-05-17,"5/24/11","-","404 Virgina Ave","TGW","Closed 5/31/11","19","404 Virgina Ave","Harrisonburg","VA","US",38.454161,-78.871559,"404 Virgina Ave Harrisonburg        VA      US","-",NA
"21",2011-05-19,"5/20/2011","5/23/2011","759 Madison St","TGW","Closed 6/2/2011","22","759 Madison St","Harrisonburg","VA","US",38.457998,-78.862838,"759 Madison St Harrisonburg        VA      US","-",NA
"22",2011-05-19,"5/20/2011","7/15/2011","748 Madison St","TGW","Closed 8/30/2011","22","748 Madison St","Harrisonburg","VA","US",38.457948,-78.863038,"748 Madison St Harrisonburg        VA      US","-",NA
"23",2011-05-19,"5/25/11","5/28/11","2125 Whispering Springs Rd","TGW","Closed 6/8/11","22","2125 Whispering Springs Rd","Harrisonburg","VA","US",38.414318,-78.884997,"2125 Whispering Springs Rd Harrisonburg        VA      US","-",NA
"24",2011-05-20,"5/25/2011","6/1/2011","517 E Gay St","TGW","Closed 6/10/2011","24","517 E Gay St","Harrisonburg","VA","US",38.452254,-78.85966,"517 E Gay St Harrisonburg        VA      US","-",NA
"25",2011-05-23,"5/25/2011","6/10/2011","205 Newman Ave","TGW","Closed 6/16/2011","27","205 Newman Ave","Harrisonburg","VA","US",38.447499,-78.866634,"205 Newman Ave Harrisonburg        VA      US","-",NA
"26",2011-05-23,"5/25/2011","5/26/2011","55 E Grattan St","TGW","Closed 6/2/2011","27","55 E Grattan St","Harrisonburg","VA","US",38.442734,-78.871172,"55 E Grattan St Harrisonburg        VA      US","-",NA
"27",2011-05-23,"5/24/11","5/28/11","98 Rex Rd","TGW","Closed 6/10/11","27","98 Rex Rd","Harrisonburg","VA","US",38.42852,-78.896629,"98 Rex Rd Harrisonburg        VA      US","-",NA
"28",2011-05-23,"5/24/11","5/28/11","1813 Willow Hill Dr","TGW multiple","Closed","27","1813 Willow Hill Dr","Harrisonburg","VA","US",38.429066,-78.896273,"1813 Willow Hill Dr Harrisonburg        VA      US","-",NA
"29",2011-05-23,"5/24/11","5/28/11","1811 Willow Hill Dr","TGW multiple","Closed","27","1811 Willow Hill Dr","Harrisonburg","VA","US",38.4291,-78.896226,"1811 Willow Hill Dr Harrisonburg        VA      US","-",NA
"30",2011-05-23,"5/24/11","-","63 Rex Rd","TGW","Closed 6/9/11","27","63 Rex Rd","Harrisonburg","VA","US",38.427551,-78.895016,"63 Rex Rd Harrisonburg        VA      US","-",NA
"31",2011-05-24,"5/25/2011","5/26/2011","793 N Liberty St","TGW","Closed 6/10/2011","28","793 N Liberty St","Harrisonburg","VA","US",38.460213,-78.86664,"793 N Liberty St Harrisonburg        VA      US","-",NA
"32",2011-05-24,"6/21/11","6/29/11","333 Cedar St","TGW- foreclosure, Chase Home Finance, called  Mr. Roy 7/8/11 for estimate, we had it mowed","Closed ","28","333 Cedar St","Harrisonburg","VA","US",38.434987,-78.897292,"333 Cedar St Harrisonburg        VA      US","-",NA
"33",2011-05-25,"6/3/2011","n/a","261 Franklin St","TGW","Closed","30","261 Franklin St","Harrisonburg","VA","US",38.44613,-78.865609,"261 Franklin St Harrisonburg        VA      US","-",NA
"34",2011-05-25,"5/26/11","5/28/11","1824 College Ave","TGW","Closed 6/3/11","30","1824 College Ave","Harrisonburg","VA","US",38.482066,-78.876264,"1824 College Ave Harrisonburg        VA      US","-",NA
"35",2011-05-25,"5/26/11","5/28/11","485 S Mason St","TGW","Closed 6/15/11","30","485 S Mason St","Harrisonburg","VA","US",38.443757,-78.86845,"485 S Mason St Harrisonburg        VA      US","-",NA
"36",2011-05-25,"5/26/11","-","1820 Shen Stone Dr","TGW-foreclosure, called Jand D for estimate 6/20/11 but they never got back to me","Closed","30","1820 Shen Stone Dr","Harrisonburg","VA","US",38.45621,-78.895008,"1820 Shen Stone Dr Harrisonburg        VA      US","-",NA
"37",2011-05-31,"6/8/2011","6/9/2011","1820 Manor Dr","TGW","Closed 6/22/2011","35","1820 Manor Dr","Harrisonburg","VA","US",38.415555,-78.87897,"1820 Manor Dr Harrisonburg        VA      US","-",NA
"38",2011-05-31,"6/8/2011","6/9/2011","1871 Manor Dr","TGW","Closed 6/22/2011","35","1871 Manor Dr","Harrisonburg","VA","US",38.415289,-78.879897,"1871 Manor Dr Harrisonburg        VA      US","-",NA
"39",2011-05-31,"n/a","n/a","1810 Manor Dr","TGW","Closed 6/7/2011","35","1810 Manor Dr","Harrisonburg","VA","US",38.415527,-78.878763,"1810 Manor Dr Harrisonburg        VA      US","-",NA
"40",2011-06-01,"6/3/2011","6/8/2011","1419 Crawford Ave","TGW","Closed 6/23/2011","41","1419 Crawford Ave","Harrisonburg","VA","US",38.430798,-78.879058,"1419 Crawford Ave Harrisonburg        VA      US","-",NA
"41",2011-06-01,"6/9/2011","n/a","45 Monroe St","TGW","Closed 7/5/2011","41","45 Monroe St","Harrisonburg","VA","US",38.458009,-78.861493,"45 Monroe St Harrisonburg        VA      US","-",NA
"42",2011-06-01,"n/a","n/a","58 Monument Ave","TGW","No violation","41","58 Monument Ave","Harrisonburg","VA","US",38.430767,-78.881423,"58 Monument Ave Harrisonburg        VA      US","-",NA
"43",2011-06-02,"6/3/11","6/22/11","1250 W. Market St","TGW","Closed 6/27/11","50","1250 W. Market St","Harrisonburg","VA","US",38.452413,-78.888966,"1250 W. Market St Harrisonburg        VA      US","-",NA
"44",2011-06-02,"6/8/11","-","2250 Reservior St","TGW","Closed 6/15/11","50","2250 Reservior St","Harrisonburg","VA","US",38.420772,-78.854112,"2250 Reservior St Harrisonburg        VA      US","-",NA
"45",2011-06-02,"6/3/11","-","287 E Johnson St","TGW, letter came back","Closed","50","287 E Johnson St","Harrisonburg","VA","US",38.454895,-78.859218,"287 E Johnson St Harrisonburg        VA      US","-",NA
"46",2011-06-02,"6/3/11","-","1261 Stonechris Dr","TGW-foreclosure, called Jand D for estimate 6/20/11 but they never got back to me. Mr. Roy mowed this 7/6/11","Closed 7/8/11","50","1261 Stonechris Dr","Harrisonburg","VA","US",38.453377,-78.889958,"1261 Stonechris Dr Harrisonburg        VA      US","-",NA
"47",2011-06-03,"6/8/11","6/14/11","386 E Gay St","TGW","Closed 7/15/11","61","386 E Gay St","Harrisonburg","VA","US",38.452625,-78.862112,"386 E Gay St Harrisonburg        VA      US","-",NA
"48",2011-06-03,"n/a","n/a","311 S Main St ","TGW, near Quilt Museum called PW","Closed 6/20/11","61","311 S Main St ","Harrisonburg","VA","US",38.446531,-78.869339,"311 S Main St  Harrisonburg        VA      US","-",NA
"49",2011-06-04,"6/7/2011","6/10/2011","294 Lucy Dr","TGW","Closed 6/23/2011","63","294 Lucy Dr","Harrisonburg","VA","US",38.424213,-78.849693,"294 Lucy Dr Harrisonburg        VA      US","-",NA
"50",2011-06-04,"6/7/2011","6/8/2011","Lucy Dr","TGW","Closed 6/16/2011","63","Lucy Dr","Harrisonburg","VA","US",38.42409,-78.851589,"Lucy Dr Harrisonburg        VA      US","-",NA
"51",2011-06-08,"6/10/2011","n/a","1480 College Ave","TGW","Closed 7/5/2011","66","1480 College Ave","Harrisonburg","VA","US",38.47462,-78.878534,"1480 College Ave Harrisonburg        VA      US","-",NA
"52",2011-06-13,"6/20/11","-","422 Cedar St","TGW, letter came back unclaimed","Closed","45","422 Cedar St","Harrisonburg","VA","US",38.435235,-78.897338,"422 Cedar St Harrisonburg        VA      US","-",NA
"53",2011-06-14,"n/a","n/a","1445 Springside Dr","TGW","No violation","47","1445 Springside Dr","Harrisonburg","VA","US",38.439267,-78.912369,"1445 Springside Dr Harrisonburg        VA      US","-",NA
"54",2011-06-22,"n/a","n/a","70 Baxter Dr","TGW","No violation","53","70 Baxter Dr","Harrisonburg","VA","US",38.412519,-78.904565,"70 Baxter Dr Harrisonburg        VA      US","-",NA
"55",2011-06-22,"n/a","n/a","50 Baxter","TGW","No violation","53","50 Baxter","Harrisonburg","VA","US",38.412228,-78.904121,"50 Baxter Harrisonburg        VA      US","-",NA
"56",2011-06-22,"6/30/11","7/5/11","396 E Gay St","TGW","Closed 7/11/11","53","396 E Gay St","Harrisonburg","VA","US",38.452603,-78.861963,"396 E Gay St Harrisonburg        VA      US","-",NA
"57",2011-06-22,"6/30/11","7/5/11","3091 S Main St","TGW","Closed 7/9/11","53","3091 S Main St","Harrisonburg","VA","US",38.411081,-78.903052,"3091 S Main St Harrisonburg        VA      US","-",NA
"58",2011-06-23,"6/30/11","7/1/11","30 Baxter Rd","TGW","Closed 7/8/11","54","30 Baxter Rd","Harrisonburg","VA","US",38.411937,-78.903677,"30 Baxter Rd Harrisonburg        VA      US","-",NA
"59",2011-06-24,"6/29/11","7/5/11","716 E Market St","TGW multiple","Closed 7/11/11","55","716 E Market St","Harrisonburg","VA","US",38.448753,-78.85485,"716 E Market St Harrisonburg        VA      US","-",NA
"60",2011-06-24,"6/29/11","7/5/11","718 E Market St","TGW multiple","Closed 7/11/11","55","718 E Market St","Harrisonburg","VA","US",38.448734,-78.854829,"718 E Market St Harrisonburg        VA      US","-",NA
"61",2011-06-24,"6/29/11","7/5/11","722 E Market St","TGW multiple","Closed 7/11/11","55","722 E Market St","Harrisonburg","VA","US",38.448697,-78.854787,"722 E Market St Harrisonburg        VA      US","-",NA
"62",2011-06-24,"6/29/11","7/5/11","726 E Market St","TGW multiple","Closed 7/11/11","55","726 E Market St","Harrisonburg","VA","US",38.448517,-78.854606,"726 E Market St Harrisonburg        VA      US","-",NA
"63",2011-06-24,"6/29/11","7/5/11","730 E Market St","TGW multiple","Closed 7/11/11","55","730 E Market St","Harrisonburg","VA","US",38.448429,-78.854522,"730 E Market St Harrisonburg        VA      US","-",NA
"64",2011-06-27,"n/a","n/a","80 E Johnson St","TGW","No violation","57","80 E Johnson St","Harrisonburg","VA","US",38.455524,-78.862956,"80 E Johnson St Harrisonburg        VA      US","-",NA
"65",2011-06-27,"n/a","n/a","907 N Main St","TGW- letter and  card never came back but mowed","Closed 7/15/11","57","907 N Main St","Harrisonburg","VA","US",38.458767,-78.858931,"907 N Main St Harrisonburg        VA      US","-",NA
"66",2011-06-27,"6/29/11","-","108 Reservior St","TGW, letter came back","Closed 7/13/11","57","108 Reservior St","Harrisonburg","VA","US",38.446618,-78.860136,"108 Reservior St Harrisonburg        VA      US","-",NA
"67",2011-06-28,"6/29/11","7/5/11","804 Chicago Ave","TGW","Closed 7/13/11","59","804 Chicago Ave","Harrisonburg","VA","US",38.460188,-78.874785,"804 Chicago Ave Harrisonburg        VA      US","-",NA
"68",2011-06-28,"6/29/11","no","1065 Chicago Ave","TGW- letter came back","Closed 7/13/11","59","1065 Chicago Ave","Harrisonburg","VA","US",38.467291,-78.878046,"1065 Chicago Ave Harrisonburg        VA      US","-",NA
"69",2011-06-29,"n/a","n/a","15 Pleasant Hill Rd","TGW","No violation","60","15 Pleasant Hill Rd","Harrisonburg","VA","US",38.425908,-78.889659,"15 Pleasant Hill Rd Harrisonburg        VA      US","-",NA
"70",2011-06-29,"7/6/2011","7/8/2011","251 Garbers Church Rd","TGW","No violation","60","251 Garbers Church Rd","Harrisonburg","VA","US",38.452935,-78.901196,"251 Garbers Church Rd Harrisonburg        VA      US","-",NA
"71",2011-06-29,"6/30/11","7/5/11","305 N High Street","TGW","Closed 7/13/11","60","305 N High Street","Harrisonburg","VA","US",38.452982,-78.871864,"305 N High Street Harrisonburg        VA      US","-",NA
"72",2011-06-30,"6/30/11","7/2/11","131 Academy St","TGW","Closed 7/13/11","62","131 Academy St","Harrisonburg","VA","US",38.448789,-78.874458,"131 Academy St Harrisonburg        VA      US","-",NA
"73",2011-06-30,"6/30/11","7/15/11","1261 Stonechris Dr","TGW still needs work","Closed 7/19/11","62","1261 Stonechris Dr","Harrisonburg","VA","US",38.453377,-78.889958,"1261 Stonechris Dr Harrisonburg        VA      US","-",NA
"74",2011-06-30,"6/29/11","-","309 W Water St","TGW, advertised in paper 8/10, 11, 12, mowed 8/11/11, City absorbed advertisement cost","Closed 8/12/11","62","309 W Water St","Harrisonburg","VA","US",38.44919,-78.874661,"309 W Water St Harrisonburg        VA      US","-",NA
"75",2011-07-07,"n/a","n/a","853 Old Furnace Rd","TGW","No violation","80","853 Old Furnace Rd","Harrisonburg","VA","US",38.450317,-78.853541,"853 Old Furnace Rd Harrisonburg        VA      US","-",NA
"76",2011-07-07,"n/a","n/a","853 Old Furnace Rd","TGW","No violation","80","853 Old Furnace Rd","Harrisonburg","VA","US",38.450317,-78.853541,"853 Old Furnace Rd Harrisonburg        VA      US","-",NA
"77",2011-07-11,"7/15/11","7/18/11","1377 N Liberty St","TGW","Closed 7/26/11","68","1377 N Liberty St","Harrisonburg","VA","US",38.467347,-78.862415,"1377 N Liberty St Harrisonburg        VA      US","-",NA
"78",2011-07-12,"n/a","n/a","Lucy Dr","TGW","No violation","69","Lucy Dr","Harrisonburg","VA","US",38.42409,-78.851589,"Lucy Dr Harrisonburg        VA      US","-",NA
"79",2011-07-12,"7/13/11","8/10/11","281 Emerald Dr","TGW, letter came back unclaimed 8/3/11, hand-delivered 8/10/11","Closed 8/18/11","69","281 Emerald Dr","Harrisonburg","VA","US",38.423135,-78.846881,"281 Emerald Dr Harrisonburg        VA      US","-",NA
"80",2011-07-13,"7/15/11","7/18/11","2150 Reservoir St","TGW, mowed but needs more work","Closed 8/9/11","70","2150 Reservoir St","Harrisonburg","VA","US",38.422685,-78.85438,"2150 Reservoir St Harrisonburg        VA      US","-",NA
"81",2011-07-15,"n/a","n/a","Shenandoah St","TGW","No violation","71","Shenandoah St","Harrisonburg","VA","US",38.465955,-78.880119,"Shenandoah St Harrisonburg        VA      US","-",NA
"82",2011-07-15,"7/15/11","7/20/11","375 Effinger St","TGW","Closed 7/29/11","71","375 Effinger St","Harrisonburg","VA","US",38.453606,-78.862062,"375 Effinger St Harrisonburg        VA      US","-",NA
"83",2011-07-20,"7/25/2011","8/5/2011","821 Blue Ridge Dr","TGW","Closed 8/10/2011","74","821 Blue Ridge Dr","Harrisonburg","VA","US",38.446695,-78.847374,"821 Blue Ridge Dr Harrisonburg        VA      US","-",NA
"84",2011-08-02,"8/8/11","8/11/11","126 Maryland Ave","TGW","Closed 8/18/11","87","126 Maryland Ave","Harrisonburg","VA","US",38.439904,-78.881959,"126 Maryland Ave Harrisonburg        VA      US","-",NA
"85",2011-08-02,"8/18/11","8/19/11","Boxwood Ct","TGW","Closed 8/25/11","87","Boxwood Ct","Harrisonburg","VA","US",38.414746,-78.898128,"Boxwood Ct Harrisonburg        VA      US","-",NA
"86",2011-08-02,"8/8/11","8/9/11","136 Maryland Ave","TGW and  Junk","Closed 8/11/11","87","136 Maryland Ave","Harrisonburg","VA","US",38.440148,-78.882137,"136 Maryland Ave Harrisonburg        VA      US","-",NA
"87",2011-08-05,"8/12/11","8/13/11","2201 Reservoir St","TGW","Closed 8/18/11","101","2201 Reservoir St","Harrisonburg","VA","US",38.421416,-78.8541,"2201 Reservoir St Harrisonburg        VA      US","-",NA
"88",2011-08-05,"8/12/11","-","2203 Reservoir St","TGW","Closed 10/7/11","101","2203 Reservoir St","Harrisonburg","VA","US",38.42139,-78.8541,"2203 Reservoir St Harrisonburg        VA      US","-",NA
"89",2011-08-08,"8/12/11","8/15/11","1200 Park Rd","TGW","Closed 8/31/11","104","1200 Park Rd","Harrisonburg","VA","US",38.471777,-78.877994,"1200 Park Rd Harrisonburg        VA      US","-",NA
"90",2011-08-08,"n/a","n/a","101 South Ave","TGW, Per Earl we had it mowed 8/11, no letter","Closed 8/12/11","104","101 South Ave","Harrisonburg","VA","US",38.435851,-78.887145,"101 South Ave Harrisonburg        VA      US","-",NA
"91",2011-08-16,"8/18/11","8/25/11","1355 Port Republic Rd","TGW","Closed 9/7/11","84","1355 Port Republic Rd","Harrisonburg","VA","US",38.414701,-78.865575,"1355 Port Republic Rd Harrisonburg        VA      US","-",NA
"92",2011-08-18,"8/25/11","9/12/11","386 E Gay St","TGW","Closed 9/19/11","86","386 E Gay St","Harrisonburg","VA","US",38.452625,-78.862112,"386 E Gay St Harrisonburg        VA      US","-",NA
"93",2011-08-18,"8/29/11","9/21/11","376 E Gay St","TGW","Closed 10/7/11","86","376 E Gay St","Harrisonburg","VA","US",38.452648,-78.862262,"376 E Gay St Harrisonburg        VA      US","-",NA
"94",2011-08-23,"8/31/2011","9/12/2011","98 Rex Rd","TGW","Closed 9/8/2011","92","98 Rex Rd","Harrisonburg","VA","US",38.42852,-78.896629,"98 Rex Rd Harrisonburg        VA      US","-",NA
"95",2011-08-26,"8/31/2011","9/12/2011","Moore St","TGW","Closed 10/5/2011","95","Moore St","Harrisonburg","VA","US",38.45961,-78.854814,"Moore St Harrisonburg        VA      US","-",NA
"96",2011-08-29,"8/31/11","9/12/11","245 Chicago Ave","TGW, looks bad but meets code","No violation","97","245 Chicago Ave","Harrisonburg","VA","US",38.452726,-78.873952,"245 Chicago Ave Harrisonburg        VA      US","-",NA
"97",2011-08-30,"8/31/2011","9/1/2011","37 Shenandoah Ave","TGW","Closed 10/5/2011","99","37 Shenandoah Ave","Harrisonburg","VA","US",38.451374,-78.87608,"37 Shenandoah Ave Harrisonburg        VA      US","-",NA
"98",2011-08-30,"8/31/11","9/6/11","110 N Mason St","TGW","Closed 9/15/11","99","110 N Mason St","Harrisonburg","VA","US",38.450284,-78.866326,"110 N Mason St Harrisonburg        VA      US","-",NA
"99",2011-08-31,"8/31/11","9/2/11","3090 S. Main St","TGW","Closed","100","3090 S. Main St","Harrisonburg","VA","US",38.411065,-78.903036,"3090 S. Main St Harrisonburg        VA      US","-",NA
"100",2012-04-30,"5/8/2012","5/10/2012","1041 Edom Rd","TGW","Closed 5/17/2012","8","1041 Edom Rd","Harrisonburg","VA","US",38.460977,-78.867258,"1041 Edom Rd Harrisonburg        VA      US","-",NA
"101",2012-05-01,"5/8/2012","5/10/2012","287 E Johnson St","TGW","Closed 6/22/2012","9","287 E Johnson St","Harrisonburg","VA","US",38.454895,-78.859218,"287 E Johnson St Harrisonburg        VA      US","-",NA
"102",2012-05-01,"5/3/12","-","746 Foley Rd","TGW multiple","Closed 5/10/12","9","746 Foley Rd","Harrisonburg","VA","US",38.421482,-78.855955,"746 Foley Rd Harrisonburg        VA      US","-",NA
"103",2012-05-01,"5/3/12","-","752 Foley Rd","TGW multiple","Closed 5/10/12","9","752 Foley Rd","Harrisonburg","VA","US",38.421466,-78.856141,"752 Foley Rd Harrisonburg        VA      US","-",NA
"104",2012-05-01,"-","-","101 South Ave","TGW","closed","9","101 South Ave","Harrisonburg","VA","US",38.435851,-78.887145,"101 South Ave Harrisonburg        VA      US","-",NA
"105",2012-05-01,"-","-","233 Monument Ave","TGW","No violation","9","233 Monument Ave","Harrisonburg","VA","US",38.429329,-78.88014,"233 Monument Ave Harrisonburg        VA      US","-",NA
"106",2012-05-03,"5/8/2012","5/17/2012","760 Virginia Ave","TGW","Closed 5/29/2012","33","760 Virginia Ave","Harrisonburg","VA","US",38.458383,-78.870434,"760 Virginia Ave Harrisonburg        VA      US","-",NA
"107",2012-05-03,"5/30/2012","6/8/2012","724 N Liberty St","TGW","Closed 6/25/2012","33","724 N Liberty St","Harrisonburg","VA","US",38.458648,-78.866984,"724 N Liberty St Harrisonburg        VA      US","-",NA
"108",2012-05-04,"5/9/2012","5/12/2012","232 Cedar St","TGW","Closed","37","232 Cedar St","Harrisonburg","VA","US",38.434812,-78.897573,"232 Cedar St Harrisonburg        VA      US","-",NA
"109",2012-05-04,"5/9/2012","n/a","125 Southampton Dr","TGW","Closed 5/21/2012","37","125 Southampton Dr","Harrisonburg","VA","US",38.435164,-78.888653,"125 Southampton Dr Harrisonburg        VA      US","-",NA
"110",2012-05-08,"5/11/2012","5/21/2012","1131 S Dogwood Dr","TGW","Closed 5/29/2012","39","1131 S Dogwood Dr","Harrisonburg","VA","US",38.438941,-78.894376,"1131 S Dogwood Dr Harrisonburg        VA      US","-",NA
"111",2012-05-09,"5/11/2012","5/12/2012","103 Pleasant Hill Rd","TGW","Closed 5/23/2012","40","103 Pleasant Hill Rd","Harrisonburg","VA","US",38.429089,-78.895401,"103 Pleasant Hill Rd Harrisonburg        VA      US","-",NA
"112",2012-05-09,"5/11/2012","5/12/2012","105 Pleasant Hill Rd","TGW","Closed 5/23/2012","40","105 Pleasant Hill Rd","Harrisonburg","VA","US",38.42914,-78.895494,"105 Pleasant Hill Rd Harrisonburg        VA      US","-",NA
"113",2012-05-09,"5/11/2012","-","1212 Port Republic Rd","TGW","Closed 5/14/2012","40","1212 Port Republic Rd","Harrisonburg","VA","US",38.41728,-78.867104,"1212 Port Republic Rd Harrisonburg        VA      US","-",NA
"114",2012-05-10,"n/a","n/a","205 E Johnson St","TGW","No violation","11","205 E Johnson St","Harrisonburg","VA","US",38.455132,-78.860734,"205 E Johnson St Harrisonburg        VA      US","-",NA
"115",2012-05-10,"5/18/2012","-","329 W Bruce St","TGW","7/13/2012","11","329 W Bruce St","Harrisonburg","VA","US",38.448185,-78.875334,"329 W Bruce St Harrisonburg        VA      US","-",NA
"116",2012-05-10,"5/11/2012","-","1055 Virginia Ave","TGW","5/11/2012","11","1055 Virginia Ave","Harrisonburg","VA","US",38.463278,-78.869741,"1055 Virginia Ave Harrisonburg        VA      US","-",NA
"117",2012-05-10,"5/14/2012","5/15/2012","1200 Park Rd","TGW","6/25/2012","11","1200 Park Rd","Harrisonburg","VA","US",38.471777,-78.877994,"1200 Park Rd Harrisonburg        VA      US","-",NA
"118",2012-05-10,"5/11/2012","5/14/2012","101 Rocco Ave","TGW","5/23/2012","11","101 Rocco Ave","Harrisonburg","VA","US",38.426797,-78.886545,"101 Rocco Ave Harrisonburg        VA      US","-",NA
"119",2012-05-14,"5/22/2012","n/a","1561 Shenstone Dr","TGW","7/18/2012","15","1561 Shenstone Dr","Harrisonburg","VA","US",38.454839,-78.894034,"1561 Shenstone Dr Harrisonburg        VA      US","-",NA
"120",2012-05-15,"-","-","287 E Johnson St","TGW- staff was working on this already","Closed","16","287 E Johnson St","Harrisonburg","VA","US",38.454895,-78.859218,"287 E Johnson St Harrisonburg        VA      US","-",NA
"121",2012-05-16,"5/18/2012","-","2203 Reservoir St","TGW","5/21/2012","18","2203 Reservoir St","Harrisonburg","VA","US",38.42139,-78.8541,"2203 Reservoir St Harrisonburg        VA      US","-",NA
"122",2012-05-16,"n/a","n/a","344 E Wolfe St","TGW","No violation","18","344 E Wolfe St","Harrisonburg","VA","US",38.450678,-78.863222,"344 E Wolfe St Harrisonburg        VA      US","-",NA
"123",2012-05-17,"n/a","n/a","1550 Kramer Ct","TGW","5/21/2012","20","1550 Kramer Ct","Harrisonburg","VA","US",38.414146,-78.872982,"1550 Kramer Ct Harrisonburg        VA      US","-",NA
"124",2012-05-18,"n/a","n/a","830 Stuart St","TGW","No violation","21","830 Stuart St","Harrisonburg","VA","US",38.460559,-78.872341,"830 Stuart St Harrisonburg        VA      US","-",NA
"125",2012-05-21,"n/a","n/a","948 Greenbriar Dr","TGW","No violation","25","948 Greenbriar Dr","Harrisonburg","VA","US",38.426824,-78.871329,"948 Greenbriar Dr Harrisonburg        VA      US","-",NA
